rotten_tomatoes_link,critic_name,top_critic,publisher_name,review_type,review_date,review_content
m/vampires_vs_the_bronx,Brian Eggert,FALSE,Deep Focus Review,Fresh,2/17/2022,"The whole thing races by with a few laughs and a few scares, and a worthy gentrification theme, making it easy to recommend for genre fans."
m/vampires_vs_the_bronx,DarkSkyLady,FALSE,DarkSkyLady Reviews,Fresh,9/25/2021,Vampires vs. the Bronx is a hilariously familiar good time.
m/vampires_vs_the_bronx,Jonathan DeHaan,FALSE,Nightmare on Film Street,Fresh,3/1/2021,"Vampires Vs. The Bronx is a perfect low-stakes horror that pokes fun at the extinction so many communities are facing right now in major cities, but it's also just a super fun vampire flick."
m/vampires_vs_the_bronx,Kathia Woods,FALSE,Remezcla,Fresh,2/10/2021,Young Afro-Latinos Shine in Vampires vs. the Bronx
m/vampires_vs_the_bronx,Richard Crouse,FALSE,Richard Crouse,Fresh,1/29/2021,"The story isn't just a vampire story, although there's fangs and stakes and blood. It's more about the trio of charismatic kids who become heroes to protect something they really believe in."
m/vampires_vs_the_bronx,Jennifer Heaton,FALSE,Alternative Lens,Fresh,1/15/2021,...Vampires vs. The Bronx is both an entertaining horror-comedy and a clever commentary on whitewashing and gentrification.
m/vampires_vs_the_bronx,Dennis Schwartz,FALSE,Dennis Schwartz Movie Reviews,Fresh,12/16/2020,Who would have thought with a title like that this would be a decent film!
m/vampires_vs_the_bronx,Filipe Freitas,FALSE,Always Good Movies,Fresh,11/19/2020,The non-elaborate scenarios and relaxed posture generate a likable indie flavor...
m/vampires_vs_the_bronx,Rosa Parra,FALSE,Latinx Lens,Fresh,11/18/2020,A formulaic story with a refreshing cultural lens and social commentary.....A Latinx household is fully equipped for a possible vampire invasion.
m/vampires_vs_the_bronx,Jordy Sirkin,FALSE,Jordy Reviews It,Fresh,11/16/2020,"Vampires vs. The Bronx is a refreshing take on vampire lore, using it as a means to highlight the horrors of gentrification."
m/vampires_vs_the_bronx,Andrew Wyatt,FALSE,The Lens,Rotten,11/3/2020,A fun but slight horror-comedy that doesn't do much with its biting metaphor for urban gentrification.
m/vampires_vs_the_bronx,Brandon Collins,FALSE,Medium Popcorn,Rotten,10/28/2020,"It wasn't painful, but I had high expectations...the jokes that did hit made me laugh..."
m/vampires_vs_the_bronx,Justin Brown,FALSE,Medium Popcorn,Fresh,10/28/2020,It exceeded my expectations...fun and short...
m/vampires_vs_the_bronx,Brad Newsome,TRUE,Sydney Morning Herald,Fresh,10/28/2020,"There's a comfortable, familiar, save-the-old-community-centre spirit about this movie."
m/vampires_vs_the_bronx,Barbara Shulgasser,FALSE,Common Sense Media,Fresh,10/28/2020,"Teens protect their neighborhood; violence, language."
m/vampires_vs_the_bronx,Wendy Shreve,FALSE,Featuring Film,Fresh,10/27/2020,You don't have to be a bloodsucking junkie to enjoy Vampires vs. The Bronx. You just need to be ready for some creepy fun.
m/vampires_vs_the_bronx,Paul Mount,FALSE,Starburst,Fresh,10/26/2020,"For all its vampiric snarling and slightly cheesy 1990s special effects there's no bloodletting at all in this nippy, sprightly little film that stars a great young cast of unknowns and plays gamely with all the familiar tropes of the vampire genre."
m/vampires_vs_the_bronx,Matt Donato,FALSE,What To Watch,Fresh,10/26/2020,It's a Bronx-bred slice of socially conscious horror that also doubles as gateway horror for younger genre fans in training. Owns its bodega-hangout roots.
m/vampires_vs_the_bronx,Ruben Peralta Rigaud,FALSE,Cocalecas,Rotten,10/19/2020,"Vampires against the Bronx isn't bad.... [but] that's not enough, in the end there is almost nothing left from the less than hour and a half that was worth remembering."
m/vampires_vs_the_bronx,Jorge Loser,FALSE,Espinof,Fresh,10/19/2020,A wonderful juvenile horror film.
m/vampires_vs_the_bronx,Aaron Neuwirth,FALSE,We Live Entertainment,Fresh,10/16/2020,"This film looks at gentrification, with the clever use of vampires working with the literal metaphor."
m/vampires_vs_the_bronx,Matt Conway,FALSE,Battle Royale With Cheese,Fresh,10/15/2020,Vampires vs. The Bronx delivers a spirited adventure that intelligently connects its thrills to our societal zeitgeist.
