,rotten_tomatoes_link,critic_name,top_critic,publisher_name,review_type,review_score,review_date,review_content
1,m/10006188-rise,Kamal Al-Solaylee,TRUE,Globe and Mail,Fresh,2.5/4,6/1/2007,"[Director] Gutierrez sustains a heightened mood of sex and violence that, without breaking new ground, entertains in the way Gothic flicks do: a combination of cheap thrills and a good old-fashioned crusade against evil."
2,m/10006188-rise,Peter Howell,TRUE,Toronto Star,Fresh,2.5/4,6/1/2007,"You can thank a capable cast led by the estimable Lucy Liu, and work by writer/director Sebastian Gutierrez that succeeds in making the formulaic seem fresh."
3,m/10006188-rise,Kevin Williamson,FALSE,Jam! Movies,Rotten,5-Jan,6/1/2007,"There are worse things than waking up in a morgue. Like, say, waking up and realizing there's another hour of Rise: Blood Hunter to go."
4,m/10006188-rise,Angela Baldassarre,FALSE,Sympatico.ca,Rotten,,6/1/2007,"I wasn't expecting much from director/writer Sebastian Gutierrez, considering his last writing effort was the dismal ""Snakes on a Plane."" But in ""Rise: Blood Hunter"" he offers absolutely nothing new in terms of vampire stories if not a lush noirish atmosp"
5,m/10006188-rise,Brian Orndorf,FALSE,eFilmCritic.com,Rotten,F,6/2/2007,"Mix Blade, a dash of Point Blank, and one of the worst movies you could imagine, and that's pretty close to capturing the experience of viewing Rise: Blood Hunter."
6,m/10006188-rise,Mark Palermo,FALSE,"The Coast (Halifax, Nova Scotia)",Rotten,,6/4/2007,"Rise is middling, but not by doing things the wrong way. It's not wild enough."
7,m/10006188-rise,Scott Weinberg,FALSE,FEARnet,Rotten,2.5/5,6/11/2007,"A dry and dreary little affair, one that's almost shamefully beholden to B-flicks that are a lot more energetic and a lot less intent on being taken so seriously."
8,m/10006188-rise,Scott Collura,FALSE,IGN Movies,Rotten,5-Feb,6/22/2007,"It's a blood-red affair thrown together in a dash, a little number that will ultimately get the same kind of treatment from audiences as it did from those who made it: something you might cue up in the DVD player on a whim and forget just as easily."
9,m/10006188-rise,David Nusair,FALSE,Reel Film Reviews,Fresh,4-Mar,9/28/2007,...a far more effective piece of work than one might've expected...
10,m/10006188-rise,Kevin Carr,FALSE,7M Pictures,Fresh,3.5/5,10/9/2007,"far from perfect, but it's better than most direct-to-video horror you'll find out there. Heck, it's better than some of the theatrical releases we've seen this year"
11,m/10006188-rise,Keith Breese,FALSE,Filmcritic.com,Rotten,5-Feb,10/12/2007,"While Rise: Blood Hunter isn't a terrible film, it's a predictable one."
12,m/10006188-rise,Chuck O'Leary,FALSE,FulvueDrive-in.com,Rotten,10-Mar,10/19/2007,"A tedious Blade rip-off. No suspense or scares, but lots of boredom."
13,m/10006188-rise,Renee Schonfeld,FALSE,Common Sense Media,Rotten,5-Jan,10/22/2007,Torturous vampire bloodbath is a waste for all.
14,m/10006188-rise,Urban Cinefile Critics,FALSE,Urban Cinefile,Fresh,,4/18/2008,"Lucy Liu is always welcome on my screen, an actress who marries intelligence with feminine mystique, bundled with a dry wit and the ability to make action roles credible."
15,m/10006370-stay_alive,Christopher Smith,FALSE,Bangor Daily News (Maine),Rotten,D-,3/24/2006,This game is so over.
16,m/10006370-stay_alive,Dustin Putman,FALSE,TheFilmFile.com,Rotten,0.5/4,3/24/2006,A complete cinematic joke.
17,m/10006370-stay_alive,Joshua Tyler,FALSE,CinemaBlend,Fresh,3.5/5,3/24/2006,"While the plot device is quite innovative, the execution remains pretty true to the PG-13 thriller formula."
18,m/10006370-stay_alive,Maitland McDonagh,FALSE,TV Guide,Rotten,4-Feb,3/24/2006,"The movie equivalent of junk food: It's not good, but it's predictable and even satisfying, in a low-expectations way."
